Overriding config with ../config/train_pride_prejudice_char_256_width.py:
# Pride and Prejudice 256-width configuration
out_dir = '../Weights/out-pride-prejudice'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'pride_prejudice'

dataset = 'pride_prejudice_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 4
n_embd = 256
dropout = 0.2

learning_rate = 1e-3
max_iters = 1500
lr_decay_iters = 1500
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'mps'    # Apple Silicon MPS backend for the reduced bonus rerun
compile = False   # keep False for MPS

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/pride_prejudice_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.74M
num decayed parameter tensors: 26, with 4,800,768 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: False
step 0: train loss 4.2771, val loss 4.2723
iter 0: loss 4.2589, time 102558.00ms, mfu -100.00%
iter 10: loss 3.3981, time 815.74ms, mfu 0.21%
iter 20: loss 2.9886, time 824.82ms, mfu 0.21%
iter 30: loss 2.7549, time 805.13ms, mfu 0.21%
iter 40: loss 2.6325, time 814.35ms, mfu 0.21%
iter 50: loss 2.5696, time 819.21ms, mfu 0.21%
iter 60: loss 2.5635, time 942.11ms, mfu 0.21%
iter 70: loss 2.5282, time 764.85ms, mfu 0.21%
iter 80: loss 2.4963, time 853.33ms, mfu 0.21%
iter 90: loss 2.4923, time 834.32ms, mfu 0.21%
iter 100: loss 2.4982, time 825.79ms, mfu 0.21%
iter 110: loss 2.4817, time 811.34ms, mfu 0.21%
iter 120: loss 2.4825, time 780.39ms, mfu 0.21%
iter 130: loss 2.4612, time 814.79ms, mfu 0.21%
iter 140: loss 2.4588, time 834.16ms, mfu 0.21%
iter 150: loss 2.4424, time 849.51ms, mfu 0.21%
iter 160: loss 2.4138, time 860.89ms, mfu 0.21%
iter 170: loss 2.4078, time 838.36ms, mfu 0.21%
iter 180: loss 2.4086, time 815.26ms, mfu 0.21%
iter 190: loss 2.3915, time 829.18ms, mfu 0.21%
iter 200: loss 2.3911, time 916.00ms, mfu 0.21%
iter 210: loss 2.3586, time 761.68ms, mfu 0.21%
iter 220: loss 2.3356, time 1015.79ms, mfu 0.21%
iter 230: loss 2.3288, time 749.63ms, mfu 0.21%
iter 240: loss 2.2908, time 830.50ms, mfu 0.21%
step 250: train loss 2.2092, val loss 2.2491
saving checkpoint to ../Weights/out-pride-prejudice
iter 250: loss 2.2864, time 115971.16ms, mfu 0.19%
iter 260: loss 2.2901, time 973.90ms, mfu 0.19%
iter 270: loss 2.2368, time 876.26ms, mfu 0.19%
iter 280: loss 2.2292, time 885.37ms, mfu 0.19%
iter 290: loss 2.2203, time 1010.37ms, mfu 0.19%
iter 300: loss 2.1851, time 990.50ms, mfu 0.19%
iter 310: loss 2.1816, time 854.25ms, mfu 0.19%
iter 320: loss 2.1267, time 892.63ms, mfu 0.19%
iter 330: loss 2.1242, time 861.09ms, mfu 0.19%
iter 340: loss 2.1120, time 904.28ms, mfu 0.19%
iter 350: loss 2.0968, time 900.70ms, mfu 0.19%
iter 360: loss 2.0921, time 841.00ms, mfu 0.19%
iter 370: loss 2.0712, time 1042.05ms, mfu 0.19%
iter 380: loss 2.0566, time 821.51ms, mfu 0.19%
iter 390: loss 2.0315, time 867.41ms, mfu 0.19%
iter 400: loss 2.0008, time 766.10ms, mfu 0.20%
iter 410: loss 1.9881, time 794.57ms, mfu 0.20%
iter 420: loss 1.9912, time 893.65ms, mfu 0.20%
iter 430: loss 1.9616, time 883.19ms, mfu 0.20%
iter 440: loss 1.9213, time 816.53ms, mfu 0.20%
iter 450: loss 1.9378, time 827.80ms, mfu 0.20%
iter 460: loss 1.9079, time 812.93ms, mfu 0.20%
iter 470: loss 1.8875, time 915.80ms, mfu 0.20%
iter 480: loss 1.9004, time 932.64ms, mfu 0.20%
iter 490: loss 1.8753, time 859.18ms, mfu 0.20%
