Overriding config with ../config/train_pride_prejudice_char_64_context.py:
# Pride and Prejudice 64-context configuration
out_dir = '../Weights/out-pride-prejudice-64_context'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'pride_prejudice_64_context'

dataset = 'pride_prejudice_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 64

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3
max_iters = 1500
lr_decay_iters = 1500
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'mps'    # Apple Silicon MPS backend for the reduced bonus rerun
compile = False   # keep False for MPS

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data/pride_prejudice_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.3225, val loss 4.3175
iter 0: loss 4.3017, time 31664.25ms, mfu -100.00%
iter 10: loss 3.2358, time 312.89ms, mfu 0.28%
iter 20: loss 2.8244, time 288.21ms, mfu 0.28%
iter 30: loss 2.6487, time 292.87ms, mfu 0.28%
iter 40: loss 2.5876, time 283.34ms, mfu 0.28%
iter 50: loss 2.5157, time 299.61ms, mfu 0.28%
iter 60: loss 2.5177, time 302.45ms, mfu 0.28%
iter 70: loss 2.4836, time 310.50ms, mfu 0.28%
iter 80: loss 2.4531, time 297.44ms, mfu 0.28%
iter 90: loss 2.4253, time 293.44ms, mfu 0.28%
iter 100: loss 2.3998, time 297.30ms, mfu 0.28%
iter 110: loss 2.3331, time 315.07ms, mfu 0.28%
iter 120: loss 2.3439, time 320.94ms, mfu 0.28%
iter 130: loss 2.2702, time 335.25ms, mfu 0.28%
iter 140: loss 2.2345, time 310.89ms, mfu 0.28%
iter 150: loss 2.1784, time 334.81ms, mfu 0.28%
iter 160: loss 2.1777, time 332.76ms, mfu 0.28%
iter 170: loss 2.1985, time 335.89ms, mfu 0.27%
iter 180: loss 2.1324, time 345.56ms, mfu 0.27%
iter 190: loss 2.0909, time 358.68ms, mfu 0.27%
iter 200: loss 2.0861, time 359.97ms, mfu 0.27%
iter 210: loss 2.0834, time 346.72ms, mfu 0.26%
iter 220: loss 2.1210, time 372.66ms, mfu 0.26%
iter 230: loss 2.0952, time 361.09ms, mfu 0.26%
iter 240: loss 2.0499, time 353.74ms, mfu 0.26%
step 250: train loss 1.9625, val loss 2.0687
saving checkpoint to ../Weights/out-pride-prejudice-64_context
iter 250: loss 2.0404, time 41061.77ms, mfu 0.23%
iter 260: loss 2.0119, time 306.96ms, mfu 0.24%
iter 270: loss 2.0171, time 335.94ms, mfu 0.24%
iter 280: loss 1.9371, time 383.30ms, mfu 0.24%
iter 290: loss 2.0240, time 332.26ms, mfu 0.24%
iter 300: loss 1.9846, time 324.47ms, mfu 0.24%
iter 310: loss 1.9907, time 335.20ms, mfu 0.24%
iter 320: loss 1.9644, time 335.95ms, mfu 0.24%
iter 330: loss 1.9669, time 327.56ms, mfu 0.25%
iter 340: loss 1.9012, time 368.26ms, mfu 0.25%
iter 350: loss 1.9376, time 351.42ms, mfu 0.25%
iter 360: loss 1.9235, time 368.38ms, mfu 0.24%
iter 370: loss 1.9265, time 320.13ms, mfu 0.25%
iter 380: loss 1.9358, time 306.48ms, mfu 0.25%
